entrada,execucao,solucao
1,1,257
1,2,242
1,3,428
1,4,379
1,5,430
1,6,287
1,7,456
1,8,522
1,9,296
1,10,294
1,11,378
1,12,213
1,13,398
1,14,439
1,15,358
1,16,353
1,17,515
1,18,402
1,19,432
1,20,294
1,21,455
1,22,270
1,23,338
1,24,499
1,25,293
1,26,465
1,27,220
1,28,242
1,29,539
1,30,344
